abind 1.4-5
ade4 1.7-15
adehabitatLT 0.3.25
adehabitatMA 0.3.14
areal 0.1.7
askpass 1.1
assertthat 0.2.1
backports 1.1.8
base64enc 0.1-3
bdsmatrix 1.3-4
bench 1.1.1
BH 1.72.0-3
bibtex 0.4.2.2
BiocGenerics 0.34.0
BiocManager 1.30.10
BiocVersion 3.11.1
bit 4.0.4
bit64 4.0.2
bitops 1.0-6
blob 1.2.1
brew 1.0-6
broom 0.7.0
callr 3.4.3
cellranger 1.1.0
checkmate 2.0.0
CircStats 0.2-6
classInt 0.4-3
cli 2.0.2
clipr 0.7.0
clisymbols 1.2.0
coda 0.19-3
colorspace 1.4-1
colourvalues 0.3.5
commonmark 1.7
concaveman 1.1.0
conquer 1.0.1
covr 3.5.0
cpp11 0.2.1
crayon 1.3.4
crosstalk 1.1.0.1
cshapes 0.6
curl 4.3
cyclocomp 1.1.0
data.table 1.13.0
dataRetrieval 2.7.6
DBI 1.1.0
DBItest 1.7.0
dbplyr 1.4.4
deldir 0.1-28
desc 1.2.0
devtools 2.3.1
dichromat 2.0-0
digest 0.6.25
diveMove 1.4.6
docopt 0.7.1
DoseFinding 0.9-17
dotCall64 1.0-0
dplyr 1.0.1
DT 0.15
e1071 1.7-3
EBImage 4.30.0
ellipsis 0.3.1
evaluate 0.14
expm 0.999-5
fansi 0.4.1
farver 2.0.3
fastmap 1.0.1
feather 0.3.5
fftwtools 0.9-8
fields 10.3
filehash 2.4-2
FNN 1.1.3
foghorn 1.2.3
fontBitstreamVera 0.1.1
fontLiberation 0.1.0
fontquiver 0.2.1
forcats 0.5.0
foreach 1.5.0
formatR 1.7
Formula 1.2-3
fs 1.5.0
future 1.18.0
future.apply 1.6.0
gargle 0.5.0
gbRd 0.4-11
gdalUtils 2.0.3.2
gdata 2.18.0
gdtools 0.2.2
generics 0.0.2
GenSA 1.1.7
geojsonsf 2.0.0
geometry 0.4.5
geoR 1.8-1
geosphere 1.5-10
ggplot2 3.3.2
gh 1.1.0
git2r 0.27.1
globals 0.12.5
glue 1.4.1
gmailr 1.0.0
gmodels 2.18.1
goftest 1.2-2
googlePolylines 0.7.2
googleVis 0.6.6
gridExtra 2.3
gsl 2.1-6
gstat 2.0-6
gtable 0.3.0
gtools 3.8.2
haven 2.3.1
hdf5r 1.3.2
hexbin 1.28.1
highlight 0.5.0
highr 0.8
hms 0.5.3
htmlTable 2.0.1
htmltools 0.5.0
htmlwidgets 1.5.1
httpuv 1.5.4
httr 1.4.2
hunspell 3.0
hyRefactor 0.4.6
igraph 1.2.5
ini 0.3.1
intersectr 0.0.2
intervals 0.15.2
IRdisplay 0.7.0
IRkernel 1.1.1
isoband 0.2.2
ISOcodes 2020.03.16
iterators 1.0.12
jose 1.0
jpeg 0.1-8.1
jsonify 1.2.1
jsonlite 1.7.0
knitr 1.29
labeling 0.3
Lahman 8.0-0
later 1.1.0.1
latticeExtra 0.6-29
lazyeval 0.2.2
leafem 0.1.3
leaflet 2.0.3
leaflet.extras 1.0.0
leaflet.extras2 1.0.0
leaflet.providers 1.9.0
leafpm 0.1.0
leafpop 0.0.5
leafsync 0.1.0
LearnBayes 2.15.1
lidR 3.0.3
lifecycle 0.2.0
linprog 0.9-2
lintr 2.0.1
